Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"LLM Multi-Agent Systems: Challenges and Open Problems","Multi-agent systems can tackle complex tasks through agent collaboration, but challenges in optimizing task allocation, robust reasoning, managing context information, and enhancing memory management remain.","Shanshan Han, Qifan Zhang, Yuhang Yao, Weizhao Jin, Zhaozhuo Xu, Chaoyang He",2024,124,"This paper explores multi-agent systems and identify challenges that remain inadequately addressed. By leveraging the diverse capabilities and roles of individual agents, multi-agent systems can tackle complex tasks through agent collaboration. We discuss optimizing task allocation, fostering robust reasoning through iterative debates, managing complex and layered context information, and enhancing memory management to support the intricate interactions within multi-agent systems. We also explore potential applications of multi-agent systems in blockchain systems to shed light on their future development and application in real-world distributed systems.","","ArXiv","","10.48550/arxiv.2402.03578","https://consensus.app/papers/llm-multiagent-systems-challenges-and-open-problems-han-zhang/11595386be7351c0a6bd198c3736c39e/"
"Agent-based software engineering","This paper explores the challenges of specifying, refining, and verifying multi-agent systems in software engineering, highlighting open research issues for future research.","M. Wooldridge",1997,1863,"The technology of intelligent agents and multi-agent systems is expected to alter radically the way in which complex, distributed, open systems are conceptualised and implemented. The paper considers the problem of building a multi-agent system as a software engineering enterprise. Three issues are focused on: how agents might be specified; how these specifications might be refined or otherwise transformed into efficient implementations: and how implemented agents and multi-agent systems might subsequently be verified, to show that they are correct with respect to their specifications. These issues are discussed with reference to a number of case studies. The paper concludes by setting out some issues and open problems for future research.","","IEE Proc. Softw. Eng.","","10.1049/ip-sen:19971026","https://consensus.app/papers/agentbased-software-engineering-wooldridge/48e005b249475d40abfe87860666ad46/"
"Agent-Oriented Software Engineering: The State of the Art","Intelligent agents and multi-agent systems are effective tools for managing complexity in software systems, with prototype techniques for analysis, design, and implementation.","M. Wooldridge, P. Ciancarini",2009,528,"Software engineers continually strive to develop tools and techniques to manage the complexity that is inherent in software systems. In this article, we argue that intelligent agents and multi-agent systems are just such tools. We begin by reviewing what is meant by the term ""agent"", and contrast agents with objects.We then go on to examine a number of prototype techniques proposed for engineering agent systems, including methodologies for agent-oriented analysis and design, formal specification and verification methods for agent systems, and techniques for implementing agent specifications.","","","","10.1007/3-540-44564-1_1","https://consensus.app/papers/agentoriented-software-engineering-the-state-of-the-art-wooldridge-ciancarini/8cc45bc250b85ca0a514380db06e7e95/"
"Agent-Oriented Software Engineering","Agent-oriented software engineering aims to engineer complex, distributed systems using autonomous agents, but fundamental questions about their nature and use remain unanswered.","N. Jennings",1999,443,"Increasingly many computer systems are being viewed in terms of autonomous agents. Agents are being espoused as a new theoretical model of computation that more closely reflects current computing reality than Turing Machines. Agents are being advocated as the next generation model for engineering complex, distributed systems. Agents are also being used as an overarching framework for bringing together the component AI sub-disciplines that are necessary to design and build intelligent entities. Despite this intense interest, however, a number of fundamental questions about the nature and the use of agents remain unanswered. In particular:","","","","10.1007/3-540-48437-x_1","https://consensus.app/papers/agentoriented-software-engineering-jennings/33a4d75e07a8527e8b5649d3c9badab1/"
"On agent-based software engineering","Agent-based software engineering offers powerful capabilities for solving complex real-world problems, with autonomous agents able to complete objectives in dynamic environments and engage in rich social interactions.","N. Jennings",2000,903,"","","Artif. Intell.","1","10.1016/s0004-3702(99)00107-1","https://consensus.app/papers/on-agentbased-software-engineering-jennings/ff59067dc9e552a9b5c35a56add5edb0/"
"Multiagent Systems Engineering","The Multiagent Systems Engineering (MaSE) methodology effectively develops heterogeneous multiagent systems by using graphically based models to describe system goals, behaviors, agent types, and communication interfaces.","S. DeLoach, M. F. Wood, Clint H. Sparkman",2001,539,"This paper describes the Multiagent Systems Engineering (MaSE) methodology. MaSE is a general purpose, methodology for developing heterogeneous multiagent systems. MaSE uses a number of graphically based models to describe system goals, behaviors, agent types, and agent communication interfaces. MaSE also provides a way to specify architecture-independent detailed definition of the internal agent design. An example of applying the MaSE methodology is also presented.","","Int. J. Softw. Eng. Knowl. Eng.","3","10.1142/s0218194001000542","https://consensus.app/papers/multiagent-systems-engineering-deloach-wood/8ca1b483cc59574795a73a75868eece2/"
"Agent Oriented Software Engineering with INGENIAS","INGENIAS is a methodology and set of tools for developing multi-agent systems, considering organization, agent, tasks/goals, interactions, and environment.","J. Pavón, J. Gómez-Sanz",2003,330,"INGENIAS is both a methodology and a set of tools for development of multi-agent systems (MAS). As a methodology, it tries to integrate results from other proposals and considers the MAS from five complementary viewpoints: organization, agent, tasks/goals, interactions, and environment. It is supported by a set of tools for modelling (graphical editor), documentation and code generation (for different agent platforms). INGENIAS is the result of the experience developing MAS in different areas, such as workflow management systems, recommender systems, Robocode teams, and PC assistants","","","","10.1007/3-540-45023-8_38","https://consensus.app/papers/agent-oriented-software-engineering-with-ingenias-pavn-gmez-sanz/aaa6ca12d56f579fa7374cb2162e3e02/"
"Agent-Oriented Software Engineering for Internet Applications","Agent-oriented software engineering, focusing on coordination models and technologies, can significantly impact the development of complex Internet-based software systems.","F. Zambonelli, N. Jennings, Andrea Omicini, M. Wooldridge",2001,176,"The metaphors of autonomous agents and agent societies have the potential to make a signifiant impact in the processes of analysis, design and development of complex software systems on the Internet. In this chapter, we concentrate predominantly on agent societies, and show how work on coordination models and technologies provides a powerful framework for the engineering of Internet-based, multi-agent systems. First, we introduce the concepts of agent, multi-agent system, and agent-oriented software engineering, and highlight the specific issues that arise when we take the Internet as the environment that agents inhibit. We then provide a brief survey of the state of the art in the area of agent-oriented methodologies, paying particular attention to the Gaia methodology for agent-oriented analysis and design. Gaia was originally concieved for benevolent agents inhabiting closed systems. However, to broaden its scope, we show how insights from the area of coordination models can be incorporated in order to make it more suitable for developing Internet-based applications.","","","","10.1007/978-3-662-04401-8_13","https://consensus.app/papers/agentoriented-software-engineering-for-internet-zambonelli-jennings/2b69ae03cc75554ca4d884bb36de0ac2/"
"Agents in object‐oriented software engineering","This paper proposes an aspect-oriented approach for integrating agents into object-oriented software engineering, promoting separate handling of concerns and a disciplined scheme for their composition.","Alessandro F. Garcia, C. Lucena, D. Cowan",2004,54,"Software engineers of multi‐agent systems (MASs) are faced with different concerns such as autonomy, adaptation, interaction, collaboration, learning, and mobility, which are essentially different from classical concerns addressed in object‐oriented software engineering. MAS developers, however, have relied mostly on object‐oriented design techniques and programming languages, such as Java. This often leads to a poor separation of MAS concerns and in turn to the production of MASs that are difficult to maintain and reuse. This paper discusses software engineering approaches for MASs, and presents a new method for integrating agents into object‐oriented software engineering from an early stage of design. The proposed approach encourages the separate handling of MAS concerns, and provides a disciplined scheme for their composition. Our proposal explores the benefits of aspect‐oriented software development for the incorporation of agents into object‐oriented systems. We also illustrate our aspect‐oriented approach through the Portalware multi‐agent system, a Web‐based environment for the development of e‐commerce portals. Copyright © 2004 John Wiley & Sons, Ltd.","","Software: Practice and Experience","2","10.1002/spe.578","https://consensus.app/papers/agents-in-objectoriented-software-engineering-garcia-lucena/0b603c76772c5a9da7b82c8af4236b31/"
"Agyn: A Multi-Agent System for Team-Based Autonomous Software Engineering","Agyn, a multi-agent system that models software engineering as an organizational process, resolves 72.2% of tasks on SWE-bench 500, outperforming single-agent baselines using comparable language models.","Nikita Benkovich, Vitalii Valkov",2026,1,"Large language models have demonstrated strong capabilities in individual software engineering tasks, yet most autonomous systems still treat issue resolution as a monolithic or pipeline-based process. In contrast, real-world software development is organized as a collaborative activity carried out by teams following shared methodologies, with clear role separation, communication, and review. In this work, we present a fully automated multi-agent system that explicitly models software engineering as an organizational process, replicating the structure of an engineering team. Built on top of agyn, an open-source platform for configuring agent teams, our system assigns specialized agents to roles such as coordination, research, implementation, and review, provides them with isolated sandboxes for experimentation, and enables structured communication. The system follows a defined development methodology for working on issues, including analysis, task specification, pull request creation, and iterative review, and operates without any human intervention. Importantly, the system was designed for real production use and was not tuned for SWE-bench. When evaluated post hoc on SWE-bench 500, it resolves 72.2% of tasks, outperforming single-agent baselines using comparable language models. Our results suggest that replicating team structure, methodology, and communication is a powerful paradigm for autonomous software engineering, and that future progress may depend as much on organizational design and agent infrastructure as on model improvements.","","ArXiv","","10.48550/arxiv.2602.01465","https://consensus.app/papers/agyn-a-multiagent-system-for-teambased-autonomous-benkovich-valkov/7427f0b72cfd512f8280dfe4283511b4/"
"Towards LLM-augmented multiagent systems for agile software engineering","The CogniSim Ecosystem, integrating Multi-Agent Systems and Large Language Models, significantly improves software development processes by analyzing problems, proposing solutions, and coordinating specialized agents.","Konrad Cinkusz, Jarosław A. Chudziak",2024,20,"A cognitive multi-agent ecosystem designed for efficient software engineering using Agile methodologies can significantly improve software development processes. Key components include the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs), utilizing Dynamic Context techniques for agent profiling, and Theory of Mind to enhance collaboration. The CogniSim Ecosystem analyzes problems, proposes solutions, constructs and validates plans, and coordinates specialized agents playing roles such as developers, executors, quality checkers, and methodology reviewers. These agents produce documentation, models, and diagrams (e.g., UML) while adhering to predefined quality and performance measures. The ecosystem also simulates the impact of various team configurations on problem-solving effectiveness, helping organizations identify optimal team structures. Case studies and simulations demonstrate its practical applications.CCS CONCEPTS• Computing methodologies → Multi-agent systems; • Software and its engineering → Agile software development.","","2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","10.1145/3691620.3695336","https://consensus.app/papers/towards-llmaugmented-multiagent-systems-for-agile-cinkusz-chudziak/fb767323410d586fa62ec650e3515632/"
"Experimenting with Multi-Agent Software Development: Towards a Unified Platform","A unified platform using multiple AI agents can automate software development, providing well-organized deliverables, security, compliance, and design optimizations.","Malik Abdul Sami, Muhammad Waseem, Zeeshan Rasheed, Mika Saari, Kari Systä, Pekka Abrahamsson",2024,12,"Large language models are redefining software engineering by implementing AI-powered techniques throughout the whole software development process, including requirement gathering, software architecture, code generation, testing, and deployment. However, it is still difficult to develop a cohesive platform that consistently produces the best outcomes across all stages. The objective of this study is to develop a unified platform that utilizes multiple artificial intelligence agents to automate the process of transforming user requirements into well-organized deliverables. These deliverables include user stories, prioritization, and UML sequence diagrams, along with the modular approach to APIs, unit tests, and end-to-end tests. Additionally, the platform will organize tasks, perform security and compliance, and suggest design patterns and improvements for non-functional requirements. We allow users to control and manage each phase according to their preferences. In addition, the platform provides security and compliance checks following European standards and proposes design optimizations. We use multiple models, such as GPT-3.5, GPT-4, and Llama3 to enable to generation of modular code as per user choice. The research also highlights the limitations and future research discussions to overall improve the software development life cycle. The source code for our uniform platform is hosted on GitHub, enabling additional experimentation and supporting both research and practical uses. \end","","ArXiv","","10.48550/arxiv.2406.05381","https://consensus.app/papers/experimenting-with-multiagent-software-development-sami-waseem/7643c3c90a7152a8999813fdd39344f3/"
"ChatDev: Communicative Agents for Software Development","ChatDev, a chat-powered software development framework, enables multi-agent collaboration and autonomous task-solving among large language model agents in design, coding, and testing phases.","Cheng Qian, Wei Liu, Hongzhang Liu, Nuo Chen, Yufan Dang, Jiahao Li, Cheng Yang, Weize Chen, Yusheng Su, X. Cong, Juyuan Xu, Dahai Li, Zhiyuan Liu, Maosong Sun",2023,603,"Software development is a complex task that necessitates cooperation among multiple members with diverse skills. Numerous studies used deep learning to improve specific phases in a waterfall model, such as design, coding, and testing. However, the deep learning model in each phase requires unique designs, leading to technical inconsistencies across various phases, which results in a fragmented and ineffective development process. In this paper, we introduce ChatDev, a chat-powered software development framework in which specialized agents driven by large language models (LLMs) are guided in what to communicate (via chat chain) and how to communicate (via communicative dehallucination). These agents actively contribute to the design, coding, and testing phases through unified language-based communication, with solutions derived from their multi-turn dialogues. We found their utilization of natural language is advantageous for system design, and communicating in programming language proves helpful in debugging. This paradigm demonstrates how linguistic communication facilitates multi-agent collaboration, establishing language as a unifying bridge for autonomous task-solving among LLM agents. The code and data are available at https://github.com/OpenBMB/ChatDev.","","","","10.18653/v1/2024.acl-long.810","https://consensus.app/papers/chatdev-communicative-agents-for-software-development-qian-liu/bd7abf58c62958e2a4c6c63f911bdab4/"
"Agent-Oriented Software Engineering","Multiagent Systems and Technologies (MAS&T) have successfully been deployed in a significant number of applications, mostly in niche markets, demonstrating usefulness for various sectors.","O. Shehory, Arnon Sturm",2014,214,"While there is ample evidence that Multiagent Systems and Technologies (MAS&T) are vigorous as a research area, it is unclear what practical application impact this research area has accomplished to date. In this chapter, we describe method and results of a survey aiming at a comprehensive and up-to-date overview of deployed examples of MAS&T. We collected and analyzed 152 applications, covering important perspectives, such as ownership, maturity, vertical sectors, and usage of programming languages and agent platforms. We conclude that MAS&T have been successfully deployed in a significant number of applications, though mostly in what could be called niche markets. Off the spotlights of mass markets and current funding buzzwords, it appears that MAS&T is useful for various sectors. Note: This is a preliminary authors’ copy of a paper to appear in the forthcoming book Agent-Oriented Software Engineering edited by Onn Shehory and Arnon Sturm, to be published in the Springer Software Engineering book series, see http://www.springer.com/computer/swe/book/978-3-642-54431-6. Please use the citation information provided on the official Springer site to refer to this paper.","","","","10.1007/978-3-642-54432-3","https://consensus.app/papers/agentoriented-software-engineering-shehory-sturm/734b65c3b4a553669a153afc4c3c7e3c/"
"LLM-Based Multi-Agent Systems for Software Engineering: Vision and the Road Ahead","LLM-based Multi-Agent systems offer enhanced robustness, autonomous problem-solving, and scalable solutions to complex software engineering challenges, offering a significant shift in research landscape.","Junda He, Christoph Treude, David Lo",2024,22,"Integrating Large Language Models(LLMs) intoautonomousagents marks a signiﬁcant shift in the research landscape by oﬀering cognitive abilities competitive to human planning and reasoning. This paper envisions the evolution of LLM-based Multi-Agent (LMA) systems in addressing complex and multi-faceted software engineering challenges. LMA systems introduce numerous beneﬁts, including enhanced robustness throughcollaborativecross-examination, autonomous problem-solving, and scalable solutions to complex software projects. By examining the role of LMA systems in future software engineering practices, this vision paper highlights the potential applications and emerging challenges. We further point to speciﬁc opportunities for research and conclude with a research agenda with a set of research questions to guide future research directions","","ArXiv","","10.48550/arxiv.2404.04834","https://consensus.app/papers/llmbased-multiagent-systems-for-software-engineering-he-treude/7e19cbb043f85cf4a5cb9466f04aa4e2/"
